acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,1,7,-5.916174228057562,"{'0': 140.1047813793147, '1': 59.30132691130011, '2': 75.56942821837106}",274.97553650898584,4773.204997159489,0.6983372960937497
EIPU-MEMO,5,2,-6.024697897756148,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 70.16376990708842}",70.36376991006865,3008.3063624539805,0.9025
EI,2,8,-8.418195390432205,"{'0': 142.36335536767305, '1': 86.68613648182591, '2': 68.25003446654091}",297.2995263160399,5114.466227462808,0.6634204312890623
EI,5,10,-4.58259906697149,"{'0': 148.57021229116594, '1': 58.579018321463124, '2': 74.60957017578251}",281.7588007884116,5495.651799358432,0.5987369392383786
EEIPU,5,2,-5.842660421424698,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 70.5034199166188}",70.70341991959903,3019.428074854471,0.9025
EI,4,8,-7.866910391552987,"{'0': 150.9266904445702, '1': 77.92994755970643, '2': 44.17146355603543}",273.02810156031205,5260.956311155915,0.6634204312890623
EI,1,8,-5.916174228057562,"{'0': 142.88259677859674, '1': 67.25630731150741, '2': 74.43542944117202}",284.5743335312762,5057.779330690765,0.6634204312890623
EIPU,2,4,-7.667243984756784,"{'0': 149.17466551795633, '1': 74.61172432595552, '2': 81.63543118157412}",305.421821025486,3922.8623927462813,0.8145062499999999
EIPU,5,3,-4.9328099160097185,"{'0': 106.60380183259005, '1': 66.8916423498586, '2': 74.99006378169295}",248.4855079641416,3469.762177718017,0.8573749999999999
EI,3,11,-5.2325038405412645,"{'0': 140.63265852556574, '1': 86.25069558088002, '2': 35.59517118782176}",262.47852529426757,5856.183949473359,0.5688000922764596
EI,5,11,-4.58259906697149,"{'0': 144.68882083077878, '1': 69.88104960243876, '2': 72.88290801623481}",287.45277844945235,5783.104577807884,0.5688000922764596
EIPU,3,4,-4.541339934748898,"{'0': 142.0188189733259, '1': 90.22071006387145, '2': 37.11890643642547}",269.3584354736228,4022.5077801942134,0.8145062499999999
EIPU,4,3,-9.38330125618984,"{'0': 143.01861957315444, '1': 78.54984100332484, '2': 55.28988502961596}",276.8583456060952,3891.6200322653485,0.8573749999999999
EI,1,9,-5.916174228057562,"{'0': 142.8824037916044, '1': 58.899137750514214, '2': 81.49963243660316}",283.28117397872177,5341.060504669487,0.6302494097246091
EI,2,9,-8.418195390432205,"{'0': 165.84216748140062, '1': 83.3589407752578, '2': 68.0378735764979}",317.23898183315634,5431.705209295965,0.6302494097246091
EIPU,1,2,-8.740785324816553,"{'0': 141.23242039678175, '1': 54.49409842030438, '2': 64.05851514491816}",259.78503396200426,3321.1018818331486,0.9025
EI,3,12,-5.2325038405412645,"{'0': 141.4046889217954, '1': 76.01956017941953, '2': 36.241994442380445}",253.66624354359539,6109.850193016954,0.5403600876626365
EI,5,12,-4.58259906697149,"{'0': 140.36576418033223, '1': 67.10552999909504, '2': 74.47349692306146}",281.94479110248875,6065.049368910373,0.5403600876626365
EIPU,2,5,-6.411183390203126,"{'0': 141.6979481931868, '1': 92.88762811381739, '2': 50.403276073941896}",284.98885238094607,4207.851245127227,0.7737809374999999
EIPU-MEMO,4,2,-9.483280555995599,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 43.24250597930701}",43.442505982287244,3380.891859103193,0.9025
EI,1,10,-5.916174228057562,"{'0': 142.8824037916044, '1': 56.65547592414832, '2': 64.6403153056384}",264.1781950213911,5605.238699690878,0.5987369392383786
EI,4,9,-7.406295179580663,"{'0': 139.99996515329116, '1': 76.76725299049579, '2': 52.79505018765906}",269.56226833144603,5530.5185794873605,0.6302494097246091
EI,5,13,-4.58259906697149,"{'0': 137.63521290803254, '1': 70.26697449371338, '2': 69.84612904441411}",277.74831644616006,6342.797685356533,0.5133420832795047
EI,3,13,-4.00588951333137,"{'0': 139.97993708622295, '1': 72.3931920691422, '2': 35.59517819335663}",247.9683073487218,6357.818500365676,0.5133420832795047
EEIPU,2,3,-8.7426638941418,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 68.18571178261104}",68.38571178559127,3156.832809450742,0.8573749999999999
EI,2,10,-6.124595687415412,"{'0': 140.3645463790602, '1': 87.97367797961917, '2': 64.17987443136278}",292.51809879004213,5724.223308086007,0.5987369392383786
EI,1,11,-5.916174228057562,"{'0': 142.8825588199488, '1': 57.29681534402029, '2': 84.47736811450756}",284.65674227847666,5889.895441969355,0.5688000922764596
EEIPU,3,3,-8.493956318752081,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 51.58809356430112}",51.78809356728135,3315.732947236062,0.8573749999999999
EEIPU,1,2,-7.870135130821174,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 37.835465549384466}",38.0354655523647,3100.6084185587,0.9025
EI,5,14,-4.58259906697149,"{'0': 139.6671486750894, '1': 74.91943355145803, '2': 74.4143540986804}",289.0009363252278,6631.798621681761,0.48767497911552943
EI,4,10,-7.406295179580663,"{'0': 140.0000303138599, '1': 77.13891356200774, '2': 54.281475567704476}",271.42041944357214,5801.938998930933,0.5987369392383786
EEIPU,4,3,-9.53356128793903,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.49898116538252}",54.69898116836275,3440.9239120245547,0.8573749999999999
EIPU,5,4,-4.9328099160097185,"{'0': 140.40331766358645, '1': 69.0598837126951, '2': 74.89390118398059}",284.35710256026215,3754.1192802782793,0.8145062499999999
EI,3,14,-4.00588951333137,"{'0': 142.03333780442637, '1': 74.00542294906847, '2': 36.10857539812114}",252.14733615161597,6609.965836517293,0.48767497911552943
EIPU,3,5,-3.4793580756486944,"{'0': 142.0567555188829, '1': 82.51211344451204, '2': 35.595376991530415}",260.1642459549254,4282.672026149139,0.7737809374999999
EI,4,11,-6.437414581316122,"{'0': 139.99991180697734, '1': 75.59125871757271, '2': 44.52080362006413}",260.1119741446142,6062.0509730755475,0.5688000922764596
EI,5,15,-4.58259906697149,"{'0': 140.98966283718823, '1': 65.9207904662552, '2': 67.94484477226537}",274.8552980757088,6906.653919757469,0.46329123015975293
EI,1,12,-5.916174228057562,"{'0': 142.8824037916044, '1': 61.89253731564622, '2': 74.63169621779102}",279.40663732504163,6169.302079294396,0.5403600876626365
EI,2,11,-6.124595687415412,"{'0': 140.1817640031068, '1': 90.52029321813473, '2': 60.54785816103292}",291.2499153822744,6015.4732234682815,0.5688000922764596
EIPU-MEMO,2,3,-8.901385957096293,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 68.52463661932734}",68.72463662230757,3156.5832780004675,0.8573749999999999
EI,4,12,-5.72897998418437,"{'0': 139.97306669706217, '1': 74.38766941872449, '2': 44.885180750510685}",259.24591686629736,6321.296889941845,0.5403600876626365
EIPU-MEMO,3,3,-8.493956318752081,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 49.22006956923132}",49.42006957221155,3309.327964494754,0.8573749999999999
EI,5,16,-3.5512302034763175,"{'0': 140.5447331312645, '1': 72.97878799999891, '2': 68.90463837765617}",282.4281595089196,7189.082079266389,0.44012666865176525
EIPU-MEMO,1,2,-8.740785324816553,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 38.16122366518394}",38.36122366816417,3099.678071539309,0.9025
EI,1,13,-5.916174228057562,"{'0': 142.88265123414834, '1': 65.09669946753874, '2': 81.30208183256349}",289.2814325342506,6458.583511828647,0.5133420832795047
EI,3,15,-4.00588951333137,"{'0': 141.61833967513613, '1': 78.39061448589939, '2': 36.41630178655183}",256.42525594758735,6866.39109246488,0.46329123015975293
EIPU,4,4,-9.38330125618984,"{'0': 162.01367209231236, '1': 76.41984359732564, '2': 45.681086777496446}",284.11460246713443,4175.734634732483,0.8145062499999999
EEIPU,5,3,-5.842660421424698,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 74.98906983349822}",75.18906983647845,3094.6171446909498,0.8573749999999999
EIPU,2,6,-5.410037062693122,"{'0': 140.00501220166566, '1': 83.96469345997608, '2': 50.894342870278564}",274.8640485319203,4482.715293659147,0.7350918906249998
